sample_number,sample_id,class
Sample_0497,Garfield Lake Old,Natural stand
Sample_0498,Garfield Lake Old,Natural stand
Sample_0499,Garfield Lake Old,Natural stand
Sample_0500,Garfield Lake Old,Natural stand
Sample_0501,Garfield Lake Old,Natural stand
Sample_0502,Garfield Lake Old,Natural stand
Sample_0503,Shell Lake Old,Natural stand
Sample_0504,Shell Lake Old,Natural stand
Sample_0505,Shell Lake Old,Natural stand
Sample_0506,Shell Lake Old,Natural stand
Sample_0507,Shell Lake Old,Natural stand
Sample_0508,Shell Lake Old,Natural stand
Sample_0509,Garfield Lake Old,Natural stand
Sample_0510,Garfield Lake Old,Natural stand
Sample_0511,Garfield Lake Old,Natural stand
Sample_0512,Garfield Lake Old,Natural stand
Sample_0513,Shell Lake Old,Natural stand
Sample_0514,Shell Lake Old,Natural stand
Sample_0515,Shell Lake Old,Natural stand
Sample_0516,Shell Lake Old,Natural stand
Sample_0517,Shell Lake Old,Natural stand
Sample_0518,Shell Lake Old,Natural stand
Sample_0519,Shell Lake Old,Natural stand
Sample_0520,Garfield Lake Old,Natural stand
Sample_0521,Garfield Lake Old,Natural stand
Sample_0522,Garfield Lake Old,Natural stand
Sample_0523,Garfield Lake Old,Natural stand
Sample_0524,Shell Lake Old,Natural stand
Sample_0525,Shell Lake Old,Natural stand
Sample_0526,Shell Lake Old,Natural stand
Sample_0527,Shell Lake Old,Natural stand
Sample_0528,Shell Lake Old,Natural stand
Sample_0529,Shell Lake Old,Natural stand
Sample_0530,Shell Lake Old,Natural stand
Sample_0531,Garfield Lake Old,Natural stand
Sample_0532,Garfield Lake Old,Natural stand
Sample_0533,Garfield Lake Old,Natural stand
Sample_0534,Garfield Lake Old,Natural stand
Sample_0535,Shell Lake Old,Natural stand
Sample_0536,Shell Lake Old,Natural stand
Sample_0537,Shell Lake Old,Natural stand
Sample_0538,Shell Lake Old,Natural stand
Sample_0539,Shell Lake Old,Natural stand
Sample_0540,Shell Lake Old,Natural stand
Sample_0541,Garfield Lake Old,Natural stand
Sample_0542,Garfield Lake Old,Natural stand
Sample_0543,Garfield Lake Old,Natural stand
Sample_0544,Garfield Lake Old,Natural stand
Sample_0545,Shell Lake Old,Natural stand
Sample_0546,Shell Lake Old,Natural stand
Sample_0547,Shell Lake Old,Natural stand
Sample_0548,Shell Lake Old,Natural stand
Sample_0549,Shell Lake Old,Natural stand
Sample_0550,Shell Lake Old,Natural stand
