sample_number,sample_id,class
Sample_0905,K2EF-C16,Breeding line
Sample_0906,K2EF-C16,Breeding line
Sample_0907,K2EF-C16,Breeding line
Sample_0916,K2EF-C16,Breeding line
Sample_0917,K2EF-C16,Breeding line
Sample_0918,K2EF-C16,Breeding line
Sample_0927,K2EF-C16,Breeding line
Sample_0928,K2EF-C16,Breeding line
Sample_0929,K2EF-C16,Breeding line
Sample_0938,K2EF-C16,Breeding line
Sample_0939,K2EF-C16,Breeding line
Sample_0950,K2EF-C16,Breeding line
Sample_0951,K2EF-C16,Breeding line
Sample_0962,K2EF-C16,Breeding line
Sample_0963,K2EF-C16,Breeding line
Sample_0974,K2EF-C16,Breeding line
Sample_0975,K2EF-C16,Breeding line
