sample_number,sample_id,class
Sample_0551,Decker Lake,Natural stand
Sample_0552,Decker Lake,Natural stand
Sample_0553,Decker Lake,Natural stand
Sample_0554,Decker Lake,Natural stand
Sample_0555,Decker Lake,Natural stand
Sample_0556,Decker Lake,Natural stand
Sample_0557,Ottertail River,Natural stand
Sample_0558,Ottertail River,Natural stand
Sample_0559,Ottertail River,Natural stand
Sample_0560,Ottertail River,Natural stand
Sample_0561,Ottertail River,Natural stand
Sample_0562,Decker Lake,Natural stand
Sample_0563,Decker Lake,Natural stand
Sample_0564,Decker Lake,Natural stand
Sample_0565,Decker Lake,Natural stand
Sample_0566,Decker Lake,Natural stand
Sample_0567,Decker Lake,Natural stand
Sample_0568,Ottertail River,Natural stand
Sample_0569,Ottertail River,Natural stand
Sample_0570,Ottertail River,Natural stand
Sample_0571,Ottertail River,Natural stand
Sample_0572,Ottertail River,Natural stand
Sample_0573,Decker Lake,Natural stand
Sample_0574,Decker Lake,Natural stand
Sample_0575,Decker Lake,Natural stand
Sample_0576,Decker Lake,Natural stand
Sample_0577,Decker Lake,Natural stand
Sample_0578,Decker Lake,Natural stand
Sample_0579,Ottertail River,Natural stand
Sample_0580,Ottertail River,Natural stand
Sample_0581,Ottertail River,Natural stand
Sample_0582,Ottertail River,Natural stand
Sample_0583,Ottertail River,Natural stand
Sample_0584,Decker Lake,Natural stand
Sample_0585,Decker Lake,Natural stand
Sample_0586,Decker Lake,Natural stand
Sample_0587,Decker Lake,Natural stand
Sample_0588,Decker Lake,Natural stand
Sample_0589,Decker Lake,Natural stand
Sample_0590,Ottertail River,Natural stand
Sample_0591,Ottertail River,Natural stand
Sample_0592,Ottertail River,Natural stand
Sample_0593,Ottertail River,Natural stand
Sample_0594,Ottertail River,Natural stand
Sample_0595,Decker Lake,Natural stand
Sample_0596,Decker Lake,Natural stand
Sample_0597,Decker Lake,Natural stand
Sample_0598,Decker Lake,Natural stand
Sample_0599,Decker Lake,Natural stand
Sample_0600,Decker Lake,Natural stand
Sample_0601,Decker Lake,Natural stand
Sample_0602,Ottertail River,Natural stand
Sample_0603,Ottertail River,Natural stand
Sample_0604,Ottertail River,Natural stand
Sample_0605,Ottertail River,Natural stand
Sample_0606,Ottertail River,Natural stand
Sample_0607,Decker Lake,Natural stand
Sample_0608,Decker Lake,Natural stand
Sample_0609,Decker Lake,Natural stand
Sample_0610,Decker Lake,Natural stand
Sample_0611,Decker Lake,Natural stand
Sample_0612,Decker Lake,Natural stand
Sample_0613,Decker Lake,Natural stand
Sample_0614,Ottertail River,Natural stand
Sample_0615,Ottertail River,Natural stand
Sample_0616,Ottertail River,Natural stand
Sample_0617,Ottertail River,Natural stand
Sample_0618,Ottertail River,Natural stand
Sample_0619,Decker Lake,Natural stand
Sample_0620,Decker Lake,Natural stand
Sample_0621,Decker Lake,Natural stand
Sample_0622,Decker Lake,Natural stand
Sample_0623,Decker Lake,Natural stand
Sample_0624,Decker Lake,Natural stand
Sample_0625,Ottertail River,Natural stand
Sample_0626,Ottertail River,Natural stand
Sample_0627,Ottertail River,Natural stand
Sample_0628,Ottertail River,Natural stand
Sample_0629,Ottertail River,Natural stand
Sample_0630,Ottertail River,Natural stand
Sample_0631,Decker Lake,Natural stand
Sample_0632,Decker Lake,Natural stand
Sample_0633,Decker Lake,Natural stand
Sample_0634,Decker Lake,Natural stand
Sample_0635,Decker Lake,Natural stand
Sample_0636,Decker Lake,Natural stand
Sample_0637,Ottertail River,Natural stand
Sample_0638,Ottertail River,Natural stand
Sample_0639,Ottertail River,Natural stand
Sample_0640,Ottertail River,Natural stand
Sample_0641,Ottertail River,Natural stand
Sample_0642,Ottertail River,Natural stand
Sample_0643,Ottertail River,Natural stand
Sample_0644,Phantom Lake,Natural stand
Sample_0645,Phantom Lake,Natural stand
Sample_0646,Phantom Lake,Natural stand
Sample_0655,Ottertail River,Natural stand
Sample_0656,Phantom Lake,Natural stand
Sample_0657,Phantom Lake,Natural stand
Sample_0658,Phantom Lake,Natural stand
Sample_0667,Ottertail River,Natural stand
Sample_0668,Phantom Lake,Natural stand
Sample_0669,Phantom Lake,Natural stand
Sample_0670,Phantom Lake,Natural stand
Sample_0679,Ottertail River,Natural stand
Sample_0680,Phantom Lake,Natural stand
Sample_0681,Phantom Lake,Natural stand
Sample_0682,Phantom Lake,Natural stand
Sample_0691,Ottertail River,Natural stand
Sample_0692,Phantom Lake,Natural stand
Sample_0693,Phantom Lake,Natural stand
Sample_0702,Ottertail River,Natural stand
Sample_0703,Phantom Lake,Natural stand
Sample_0704,Phantom Lake,Natural stand
Sample_0713,Ottertail River,Natural stand
Sample_0714,Phantom Lake,Natural stand
Sample_0715,Phantom Lake,Natural stand
Sample_0724,Ottertail River,Natural stand
Sample_0725,Phantom Lake,Natural stand
Sample_0726,Phantom Lake,Natural stand
Sample_0991,Mud Hen Lake,Natural stand
Sample_0992,Mud Hen Lake,Natural stand
Sample_1000,Mud Hen Lake,Natural stand
Sample_1001,Mud Hen Lake,Natural stand
Sample_1009,Mud Hen Lake,Natural stand
Sample_1010,Mud Hen Lake,Natural stand
Sample_1017,Mud Hen Lake,Natural stand
Sample_1018,Mud Hen Lake,Natural stand
Sample_1025,Mud Hen Lake,Natural stand
Sample_1032,Mud Hen Lake,Natural stand
