sample_number,ID,sample_ID_simplified,sample_ID_extended,class
Sample_0930,18BL420,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0941,18BL421,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0953,18BL422,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0965,18BL423,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0977,18BL424,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0898,18BL425,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0909,18BL426,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0920,18BL427,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0931,18BL428,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0942,18BL429,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0954,18BL430,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0966,18BL431,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0978,18BL432,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0943,18BL433,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0955,18BL434,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0967,18BL435,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0979,18BL436,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0899,18BL437,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0910,18BL438,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0921,18BL439,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0932,18BL440,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0944,18BL441,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0956,18BL442,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0968,18BL443,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0980,18BL444,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0900,18BL445,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0911,18BL446,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0922,18BL447,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0933,18BL448,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0945,18BL449,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0957,18BL450,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0969,18BL451,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0981,18BL452,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0901,18BL453,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0912,18BL454,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0923,18BL455,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0934,18BL456,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0946,18BL457,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0958,18BL458,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0970,18BL459,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0982,18BL460,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0902,18BL461,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0913,18BL462,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0924,18BL463,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0935,18BL464,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0947,18BL465,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0959,18BL466,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0971,18BL467,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0983,18BL468,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0903,18BL469,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0914,18BL470,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0925,18BL471,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0936,18BL472,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0948,18BL473,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0960,18BL474,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0972,18BL475,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0984,18BL476,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0904,18BL477,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0915,18BL478,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0926,18BL479,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0937,18BL480,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0949,18BL481,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0961,18BL482,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0973,18BL483,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0985,18BL484,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0986,18BL485,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0995,18BL486,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_1004,18BL487,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_1012,18BL488,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_1020,18BL489,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_1027,18BL490,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_1034,18BL491,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_1041,18BL492,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0987,18BL493,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0996,18BL494,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_1005,18BL495,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_1013,18BL496,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_1021,18BL497,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_1028,18BL498,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_1035,18BL499,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_1042,18BL500,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0988,18BL501,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0997,18BL502,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_1006,18BL503,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_1014,18BL504,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_1022,18BL505,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_1029,18BL506,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_1036,18BL507,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_1043,18BL508,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0989,18BL509,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0998,18BL510,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_1007,18BL511,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_1015,18BL512,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_1023,18BL513,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_1030,18BL514,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_1037,18BL515,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_1044,18BL516,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0990,18BL517,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0999,18BL518,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_1008,18BL519,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_1016,18BL520,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_1024,18BL521,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_1031,18BL522,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_1038,18BL523,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0699,18BL381,K2B-C16,K2B-C16,Breeding line
Sample_0710,18BL382,K2B-C16,K2B-C16,Breeding line
Sample_0721,18BL383,K2B-C16,K2B-C16,Breeding line
Sample_0732,18BL384,K2B-C16,K2B-C16,Breeding line
Sample_0894,18BL393,K2EF-C16,K2EF-C16,Breeding line
Sample_0905,18BL394,K2EF-C16,K2EF-C16,Breeding line
Sample_0916,18BL395,K2EF-C16,K2EF-C16,Breeding line
Sample_0927,18BL396,K2EF-C16,K2EF-C16,Breeding line
Sample_0938,18BL397,K2EF-C16,K2EF-C16,Breeding line
Sample_0950,18BL398,K2EF-C16,K2EF-C16,Breeding line
Sample_0962,18BL399,K2EF-C16,K2EF-C16,Breeding line
Sample_0974,18BL400,K2EF-C16,K2EF-C16,Breeding line
Sample_0895,18BL401,K2EF-C16,K2EF-C16,Breeding line
Sample_0906,18BL402,K2EF-C16,K2EF-C16,Breeding line
Sample_0917,18BL403,K2EF-C16,K2EF-C16,Breeding line
Sample_0928,18BL404,K2EF-C16,K2EF-C16,Breeding line
Sample_0939,18BL405,K2EF-C16,K2EF-C16,Breeding line
Sample_0951,18BL406,K2EF-C16,K2EF-C16,Breeding line
Sample_0963,18BL407,K2EF-C16,K2EF-C16,Breeding line
Sample_0975,18BL408,K2EF-C16,K2EF-C16,Breeding line
Sample_0896,18BL409,K2EF-C16,K2EF-C16,Breeding line
Sample_0907,18BL410,K2EF-C16,K2EF-C16,Breeding line
Sample_0918,18BL411,K2EF-C16,K2EF-C16,Breeding line
Sample_0929,18BL412,K2EF-C16,K2EF-C16,Breeding line
Sample_0750,18BL196,K2EFBP-C1,K2EFBP-C1,Breeding line
